Sample,Population,Gender
NA21732,MSI,male
NA21733,MSI,female
NA21737,MSI,male
NA21767,MSI,female
GS12877,CEU,male
GS12878,CEU,female
GS12879,CEU,female
GS12880,CEU,female
GS12881,CEU,female
GS12882,CEU,male
GS12883,CEU,male
GS12884,CEU,male
GS12885,CEU,female
GS12886,CEU,male
GS12887,CEU,female
GS12888,CEU,male
GS12889,CEU,male
GS12890,CEU,female
GS12891,CEU,male
GS12892,CEU,female
GS12893,CEU,male
